"","A375","A549","HA1E","HCC515","HEK293","HELA","HT29","HUVEC","JURKAT","MCF10A","MCF7","MDAMB231","PC3","THP1","VCAP","XC.L10","XC.R10","YAPC"
"SPTLC2",-5.32188322910896,-1.53169273991476,-6.73251539010268,2.02038979530334,-2.26177841424942,1.85749166707198,-4.20222999040897,-4.54535837719838,-2.40899991989136,0.676879978179932,-3.20464056017606,-1.15343036028472,-3.08655155556543,-2.22060000896454,-0.870700001716614,-7.97621250152588,-7.68240753809611,-3.66940758625666
"SQRDL",7.07384442480711,0.127489624375647,3.13672311489399,-1.37308287620544,3.59117107533596,7.44429183006287,2.73080505316074,3.18895000343521,8.36680006980896,-0.554990005493164,2.96595333840536,0.765085808255455,-2.13641198139106,0.164000002667308,0.536800026893616,3.50323446591695,2.4954940478007,-5.36732292175293
"SQSTM1",-4.26231939976032,-3.41765430298719,-1.63258463832048,-0.0881969779729843,-0.981094254688783,-8.41595832506816,-4.27441674012404,-5.52540830646952,4.87335014343262,-2.6907800078392,-0.710601016879082,-1.5224747183648,-2.12742684568678,2.06284990906715,0.0285000000149012,-4.74138673146566,-3.85586396853129,-4.99582514497969
"SRC",0.376627665299636,-3.09879758886316,-0.436011516130887,-0.251877665519714,1.0533592402935,0.586799991006653,-2.22568454421484,-1.90449165304502,-2.78899991512299,2.43924005031586,-0.156506613544796,-0.84717108444734,-0.69368326663971,1.12250001728535,0.264800012111664,-1.71580670277278,-1.10020019610723,-0.439757996135288
"SSBP2",4.29338886187627,1.82320458780635,5.85504225584177,0.888071060180664,0.999993305314671,5.30768336107333,5.42613675044133,2.12138331929843,-10,0.497079971432686,1.13909902650377,1.18072607571428,5.79400016580309,4.34085011482239,1.22669994831085,0.731917063395182,-0.881479700406392,4.49347483449512
"ST3GAL5",-1.03799728074899,-3.02488952062347,0.919173086491915,-0.0796817988157272,-0.196083685213869,3.35626667737961,3.53579235993899,0.545908330008388,-3.38004994392395,3.18492002487183,2.0394097942373,0.792621861804615,3.51906187619482,2.17189997434616,1.47889995574951,-0.086993396282196,-0.361813882986704,3.07225098874834
"ST6GALNAC2",2.58585666693174,2.69159977408973,4.51838075656157,-0.060746818780899,0.522896111011505,2.15663331747055,2.7244542997617,4.33560006072124,1.29020005464554,2.9872300028801,-2.69604215544203,0.222458922050216,1.6466183343104,3.21080005168915,1.29970002174377,2.48287351926168,1.87608583768209,1.57184390889274
"ST7",-3.07052665031873,-1.0740273215554,-1.66390000169094,0.097801148891449,-1.35738927667791,-5.41217501461506,-1.62780559521455,-0.963062524795532,0.0613000094890594,-3.19511997699738,-0.795678677118343,-1.02474253827875,-1.1200763796057,-2.83345007896423,-10,-2.76717058817546,-3.06725160280863,-4.76175072458055
"STAP2",5.54454880494338,2.00373660027981,6.38108468055725,1.53216528892517,2.97061211412603,7.07290001710256,3.18379349891956,2.20034582167864,8.18184995651245,5.57579984664917,3.02865295436071,2.79742193222046,4.32495372848851,0.926550000905991,1.15120005607605,6.34337218602498,6.56866312026978,0.82594869679047
"STAT5B",0.0900300660958657,1.04175565798174,2.37023460406523,-0.93140035867691,0.714770127426494,0.500608314449589,1.3734899690518,0.275854190190633,-4.77044987678528,0.246350020170212,1.49022196686786,2.01790750568563,3.413040548563,0.124700009822845,0,3.38173333803813,2.31830700238546,0.547218107514911
"STK10",2.127341233767,2.7639067911289,5.45787696998853,2.25286889076233,3.84246322783557,5.20804995298386,3.97110888591179,5.31062086423238,3.3960999250412,4.57158000469208,3.36690025663246,2.7819627252492,4.70073341471808,2.60675001144409,0.134299993515015,5.50943422317505,6.14505259195964,4.14551458093855
"STUB1",-3.18887159916071,-1.5863152268258,-4.06767307795011,-2.17191076278687,-3.02350881424817,-4.85948332150777,-5.06726491451263,-2.95265002548695,-5,-3.65609003305435,-1.39171739505685,-2.68848979473114,-1.61168970380511,-6.31124997138977,-5.37580013275146,-4.46959241231283,-4.16080093383789,3.39908339745469
"STX4",2.23065964075235,-0.496847942217507,1.988084595937,-0.468770921230316,1.58512326126749,4.2529083887736,2.65043075153461,0.611708330611388,6.80620002746582,3.91518001034856,-0.0558340542990227,0.190377197482369,1.0262051820755,1.70260001253337,1.73800003528595,0.153616358836492,-1.01971711715062,3.18728741672304
"STXBP1",0.33487106515811,-0.999150935221802,-1.27882691530081,-0.268025785684586,-0.507547783580693,0.215550005435944,-3.13737262212313,-1.84058330456416,-3.96514984965324,-1.43582999706268,-0.430328568038733,0.409200595183806,-1.69608464624201,-0.62389999628067,-1.81400001049042,-5.46625550587972,-4.99174245198568,-0.0249870220820109
"STXBP2",4.72622997944172,0.565464999526739,2.62910774120918,0.573755979537964,2.29810378903692,3.04053337872028,0.331117423681113,0.850937497491638,2.92065000534058,1.52116998434067,3.0422250472981,1.94436858458952,1.06948103862149,-4.97719985246658,0.991400003433228,1.47584048906962,1.97332604726156,0.488766368892458
"SUPV3L1",3.19555489833538,1.03975029425188,2.77599998162343,1.81073546409607,0.586214260621504,3.50057498613993,2.52273715459383,1.60508332649867,4.81170010566711,0.719440031051636,1.94578659728817,1.4869400696321,4.22128281848771,-1.88400000333786,-0.130500003695488,4.47369861602783,2.78578265508016,0.921700497468313
"SUV39H1",-6.68268735592182,-2.69221988151019,-7.05336151214746,-0.729084253311157,-5.00407365777276,-8.71549157301585,-8.05492056333102,-3.05687081813812,-3.04785001277924,-3.91994000673294,-4.98904697402664,-3.61861441352151,-7.78848593575614,-6.7754499912262,-0.13910000026226,-5.55648922920227,-8.49784755706787,-3.41806206438276
"SUZ12",-9.29991560715895,-6.24573370272463,-8.72730387174166,-2.73035216331482,-5.38302493095398,-7.4945583542188,-9.38643840643076,-3.29109162092209,-8.84089994430542,-4.00483011007309,-4.4655460767124,-7.93031811714172,-5.31605841432299,-5.46645000576973,-5.08409976959229,-8.41597493489583,-9.15544160207113,-8.15223802460564
